source_id,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag
230473206443722112,157.01261294798044,-7.909445467785787,0.5804451901918927,0.019454826,1.5343629977456437,0.02220368,-2.0374585878257423,0.01737465,-2.9418902,0.7447711,12.718723
230477810648763264,156.89131748683118,-8.139447459452027,1.9306297925910938,0.013864958,-20.19796989393017,0.015468644,-7.3676652791774035,0.010914012,-48.883022,1.4784799,12.975526
230479631714944000,156.83527860225814,-8.250657341843583,1.8998651510032205,0.023754157,9.642764773735902,0.023435464,-6.589022787339893,0.018398939,16.345602,3.4656758,11.558692
230484953173870720,156.87962561077768,-7.949759185656103,1.854494418704837,0.017375603,4.4192014684119325,0.019347832,-6.389865438004215,0.014182722,-9.54706,4.259626,12.8044
230485507230081152,156.83306985358973,-7.992007421732062,1.5144320582441382,0.019412694,8.158014073270639,0.02018026,-6.556261586453511,0.014907621,4.680751,3.5719666,12.088378
230492688415283840,156.74787200693007,-7.739582753594261,0.8556735592415697,0.016967528,9.077462967295812,0.020383231,0.8484135566117199,0.014187641,-21.82832,0.1711883,10.536521
230494131524350464,157.04676160710122,-7.8069358667332835,2.300765923761765,0.014616842,4.2659707069187425,0.017228,-15.524210990575174,0.013521197,-13.003975,0.7964198,12.67565
230495501614564480,157.08071799816972,-7.692280711256301,0.8418199344266692,0.015726551,0.7245080107754645,0.023347031,-2.0920111145182227,0.015535696,2.1113412,0.32018843,12.10055
230514335050389504,156.855917563216,-7.5546758811348615,5.604365992503077,0.10528618,-1.3735572854595577,0.11756663,13.169975180154953,0.0913203,-8.781989,0.6856658,11.631744
230537012477018368,156.8082523276054,-8.909705400187038,1.5920705344304367,0.03985772,2.4014741463414904,0.043131936,-8.69737165067369,0.030937579,-27.119965,1.757223,10.133885
230541273084491136,156.69484244346023,-8.906617141758916,0.7512810886778718,0.016716411,0.07982559689544033,0.022670079,-3.116735171782194,0.014438902,-19.92979,0.4794389,12.900961
230542991071382144,156.62692505394412,-8.805034190443727,11.700304602146414,0.020636046,44.532563584256096,0.030018402,-69.30997457053752,0.019899217,-4.623465,2.1826074,13.918863
230546835062679424,156.55154501808312,-9.063125602350338,1.3454101387019306,0.016925218,-1.6199944833395168,0.018547704,-0.7312720227151022,0.015322931,-77.54939,0.23665412,12.129545
230566836729751680,156.67260452310515,-8.54901998550216,1.322863660071531,0.015868725,-0.07125956960456059,0.016803656,-3.598040034425502,0.013564891,14.981781,1.499172,13.186039
230572712245149440,156.73606272693095,-8.363991042018222,2.066311469194038,0.017588705,-2.8654251665271433,0.017885163,-10.503935500575238,0.0139086945,6.7400527,2.464345,13.835399
230580855503017344,156.5388752274641,-8.629083017632853,2.5270303375200283,0.021062722,-1.0074868049824952,0.025546081,-4.931728076221133,0.018801032,5.8817716,2.732489,13.9846945
230587108975358976,156.34716136319383,-8.518997873796856,3.3060258325692184,0.018192265,17.464590988072036,0.018857649,-15.997699028925716,0.015451593,6.259866,2.1041472,13.708126
230593431167110656,156.4720867577387,-8.172851710404334,2.500554464249135,0.048792694,-6.928065060795824,0.05050244,-6.428603425301402,0.04022079,-4.2947474,2.262664,13.405945
230599272322856448,156.33182281029337,-8.97481808190634,3.173571581228028,0.01618848,-8.91727625255977,0.0199279,4.924458491305275,0.014197229,-50.236126,0.50095433,11.95298
230616413532866816,156.1244674132474,-8.927324595004912,0.7760588775748686,0.014212305,2.748693151437024,0.018470645,-7.239915880353697,0.012724432,12.565445,0.26269534,12.339156
230620193104078976,156.0304585386898,-8.755064999958297,0.12514615193512724,0.022605726,0.05266440857831213,0.026894832,-0.4798488067668974,0.018640714,-68.604385,0.61217296,13.039755
230620403561653888,156.03365492107943,-8.939576243796745,0.4526793753268321,0.023449518,0.8135571788604059,0.03059214,-1.9704776362300849,0.020634716,-5.0385156,0.17285655,11.113839
230638579863140992,156.21603154474812,-8.461514589077245,0.33244878030050096,0.015036058,0.1809561855457522,0.017254148,-1.7216112043139165,0.012721593,-8.11117,1.113691,13.0482435
230642462513796352,156.31610840497154,-8.292028770023803,1.46319771266891,0.016105417,15.128220629093711,0.0155690415,1.5138890296087064,0.012228715,62.564465,0.16716808,10.7219095
230646207725202816,156.26765633630436,-8.083349208707359,5.589294835586461,0.031041909,19.293180751538554,0.03719582,-27.113726966059613,0.025126502,0.71905726,1.8506383,8.015187
230652117600291200,156.10064967671454,-8.371928920801919,1.511639984580283,0.016399637,4.299664055860302,0.017534034,1.3428929560628404,0.014757282,8.729984,2.2730567,13.446413
230654557141428992,156.0567258547481,-8.291872834856132,0.36132742839123166,0.013489202,1.9077427318371778,0.014276506,-2.044463247098342,0.012265195,-52.98071,0.50000787,12.766123
230664796343414528,156.003439064361,-8.107482203072763,0.263588275301509,0.018708091,0.5555394366206233,0.02418381,-1.2605270170771554,0.016157469,-50.758636,1.8162832,13.950193
230711044553534848,156.57919502373167,-7.448295283566023,0.5977587279318731,0.026790695,8.140870555914987,0.026555855,-3.792971688680771,0.021227311,10.358489,1.1251996,13.411441
230801307585534720,156.1131218017473,-7.069834027050367,0.9439236092830517,0.015298294,3.080899464725842,0.017844923,-7.588150388901841,0.013204549,-40.923996,2.778951,13.340945
230802407097148160,156.06175001252288,-7.053616741586561,1.2061903778911494,0.016903242,6.358381952862609,0.020969652,0.5359964925642371,0.015428148,18.525955,3.7659495,13.8218565
230804022005752192,156.07507236002039,-6.9729667985304875,0.47538965103951103,0.03461675,2.468512026824855,0.04711481,-4.268160918817624,0.030448439,44.449245,1.2099894,11.54686
230807629777328128,155.9904293780425,-6.948939485164351,0.40380812783054687,0.015468439,0.7437443203783589,0.01943266,0.6362498759970123,0.013707858,-37.693825,5.6138277,13.481348
230860440694031744,155.89044578243113,-9.917321211168673,0.3905680512771701,0.016543832,0.9358296154501353,0.021111095,-1.0544608433066882,0.012888829,-31.25159,0.33036312,12.610932
230874317730758656,155.76309017923344,-9.801646690750593,1.3023279900022162,0.018599266,-1.726614404394867,0.022731109,-4.972369018853861,0.01684533,-1.3045869,5.3705916,11.987263
230876035717678464,155.7049247284336,-9.918773120832329,3.21681047826785,0.0151031865,-2.444998369009198,0.019488998,-13.649594135125092,0.012439162,15.952788,0.9784764,12.438742
230941151718967936,155.17179029522651,-9.89863210820658,0.4079698271352309,0.017043358,-1.2960734985998947,0.019337641,-2.180696177681157,0.013092975,-69.278305,1.1326765,13.319661
230945442387885952,155.28902579460166,-9.663422658193298,3.9185940832993458,0.01589045,35.44175093876294,0.017102925,-33.01884737978485,0.01484806,29.554047,2.084273,12.51477
230948229825024384,155.21197621608863,-9.703350212356087,0.9410995703973435,0.017760783,12.351894696977737,0.01977261,-9.964489895718945,0.014240893,-82.10268,0.33549586,11.58324
230949466775603072,155.12914517080011,-9.704402575273777,0.34628245485159254,0.01322404,1.436848465971563,0.015052407,-2.1386407393784497,0.0120621445,0.07814732,1.0193952,13.01848
230954105341555072,155.9492580651883,-9.651847097138928,2.9590194302209194,0.016527088,30.64609585935393,0.018501597,-33.53475000558967,0.013396797,20.217001,0.31770602,10.944602
230966023871477888,155.84963682593286,-9.4301844534773,0.227185465857296,0.035064135,-0.9017824355305704,0.037689243,-0.40418940983322915,0.030801924,-61.943665,0.6627355,12.098488
230976026854419712,155.5630981012515,-9.57021801057552,1.2925314043889533,0.094182774,3.141630538918348,0.09924355,-7.154361083609851,0.08132764,-40.76963,0.69015807,12.829573
230977126366032256,155.72943215728813,-9.50147524872814,1.6358972248384103,0.020064,14.276398942170871,0.020892635,-23.99547378878357,0.019244637,32.72044,3.8604412,13.886024
230979699047338880,155.71043267864525,-9.364869642924273,0.20714303822809946,0.017214315,0.005631508127294073,0.021262906,-0.05704594672799085,0.01678168,-33.72399,0.48881835,12.884767
230994370655618944,155.94895534103728,-9.106878293330361,2.0508082694493313,0.016990671,7.955325016968262,0.018860076,-10.753420331033112,0.013581929,8.196626,1.0514914,12.8498745
